UniqueCarrier,Month,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
Overall,1,15.8322793955,2.88849314884,16.2773256634,0.0867701116211,21.1400538953
Overall,2,15.3503715509,3.48397626683,16.4662915955,0.0727164500086,22.3716789237
Overall,3,16.0633856516,3.01637542098,15.804365508,0.0960602401983,21.2508292559
Overall,4,15.7713167825,2.20027994008,16.076132243,0.0625772495478,18.6406780771
Overall,5,14.3402011222,1.99801042239,16.6214724539,0.0811731015767,18.6825832875
Overall,6,15.1118166322,3.48126141483,19.6451844637,0.064617070498,21.7986180446
Overall,7,17.258814709,3.96853980721,19.3933380935,0.0937236701178,21.8699892895
Overall,8,17.6839833667,3.31094529428,17.1707406147,0.0615366738324,20.6706617641
Overall,9,17.1286736286,2.2070865367,16.5496212174,0.0677873195688,15.1219412782
Overall,10,15.5753635214,1.42949249833,14.9949535482,0.0718881347171,15.6316906294
Overall,11,13.6956495203,1.70213129562,18.6506188814,0.0498889187276,18.6173311198
Overall,12,15.4228062165,4.4350566568,17.2513949255,0.0722277894063,25.3732352191
9E,1,23.4369546621,2.7623609923,11.1818648417,0.0159110350727,23.902994012
9E,2,21.481705377,2.24196627426,13.2588291441,0.0427935093859,23.7494432071
9E,3,20.3487523992,3.39385796545,14.3702495202,0.0172744721689,22.3362763916
9E,4,20.5306122449,2.22690655209,13.2521482277,0.015306122449,19.1877013963
9E,5,17.4446366782,3.27058823529,14.0148788927,0.0653979238754,18.0833910035
9E,6,18.5348399247,5.35700834006,15.6370729083,0.032553134248,18.0384718859
9E,7,20.6942060086,5.96244635193,16.0876251788,0.0107296137339,16.9459942775
9E,8,17.8879266429,3.28018339277,15.6510443199,0.0132450331126,13.6271013754
9E,9,21.0693430657,2.30535279805,12.5103406326,0.0656934306569,14.0431873479
9E,10,18.750131787,1.11122825514,13.7332630469,0.0342646283606,14.7432788614
9E,11,15.516184573,2.26136363636,17.2286501377,0.0309917355372,11.7675619835
9E,12,18.4375273363,4.09928561015,17.3396996647,0.0605044467123,21.9341011809
AA,1,15.12191582,2.19719820786,20.0817820408,0.0394396415725,21.505837067
AA,2,16.3064237183,3.54613959234,18.2924027177,0.00697961704756,20.8243977764
AA,3,17.388458536,2.68504173422,18.6024139795,0.00912748453732,21.8669308833
AA,4,17.2242389182,0.875117506689,17.1587967315,0.0155470388314,18.4798611613
AA,5,15.5016391415,1.75963382198,16.9487845611,0.0562874992268,20.8508071999
AA,6,15.7056574924,2.95453618756,21.9800713558,0.0178389398573,24.4820081549
AA,7,18.7204479194,2.22846541214,18.4227405248,0.204015372383,21.1442486085
AA,8,18.855628116,3.30805420968,15.4666807106,0.00919879221965,21.317533881
AA,9,19.1283435583,0.998159509202,18.1347239264,0.0148466257669,15.1401226994
AA,10,20.5903630022,0.680144684149,14.3591267278,0.0582612065625,12.8672006201
AA,11,20.8299645116,1.34253973152,18.8028082086,0.0493750964357,15.6168801111
AA,12,17.7059863214,6.17620840698,18.5571351725,0.0122185506801,20.9449012526
AQ,1,23.6733870968,1.25806451613,1.36693548387,0.33064516129,16.0080645161
AQ,2,19.5616438356,1.89726027397,4.45205479452,0.164383561644,9.57534246575
AS,1,15.2482482482,1.40640640641,13.8558558559,0.248248248248,23.7277277277
AS,2,16.1281437126,0.809580838323,13.4598802395,0.0774451097804,20.2714570858
AS,3,17.2364240857,0.920206871075,12.2127816771,0.242334687846,18.0398965645
AS,4,18.5094250707,0.950518378888,10.8053722903,0.215362865221,19.616399623
AS,5,17.249691485,0.34306869601,12.0867955574,0.218839983546,16.3381324558
AS,6,14.9978888107,0.473610133709,13.9616467277,0.155172413793,17.0471498944
AS,7,15.1634369287,1.01535648995,11.5257769653,0.475685557587,17.466179159
AS,8,15.1427522936,1.57834862385,11.6774311927,0.276697247706,21.5302752294
AS,9,17.7554585153,2.22052401747,9.96142649199,0.244541484716,16.7641921397
AS,10,16.8609566185,0.0,10.3275862069,0.0,16.2191323693
AS,11,13.5539165819,0.852492370295,13.7115971516,0.292980671414,16.5442522889
AS,12,15.331995988,5.6908224674,14.2048645938,0.274573721163,24.9907221665
B6,1,11.4759254105,0.156971889786,18.7575841915,0.0531589201225,23.6910659616
B6,2,10.6776232617,1.12642225032,26.0297092288,0.0269700800674,29.0225453013
B6,3,10.6232698094,0.697492477432,23.777331996,0.0276830491474,30.1189568706
B6,4,10.3587420043,0.259594882729,27.7265458422,0.0170575692964,26.2686567164
B6,5,9.24621441551,0.217443973349,28.1450635978,0.00787401574803,17.1829194428
B6,6,9.750047019,2.1141621215,33.1553507617,0.0265187135603,25.0312206131
B6,7,16.3207070707,1.89628427128,33.4917027417,0.00649350649351,25.8955627706
B6,8,20.5803603604,1.57261261261,27.8,0.0140540540541,30.4227027027
B6,9,12.6068308181,1.08578236696,27.0750595711,0.0464654487689,20.1302621128
B6,10,15.4567229178,0.740337506805,20.5166031573,0.0468154599891,12.6151333696
B6,11,12.8277777778,0.503174603175,27.6849206349,0.0202380952381,25.2115079365
B6,12,20.5702464472,1.49289440547,20.008814535,0.187983450261,32.7458175931
CO,1,11.2388617886,1.82634146341,23.474796748,0.197886178862,13.638699187
CO,2,12.2323620766,3.08992752551,25.2884188729,0.146428043189,14.8480993936
CO,3,13.9268862128,2.88608994839,25.930081101,0.166502826247,21.4345047923
CO,4,12.2547484172,1.07497500833,23.2787404199,0.18127290903,15.7080973009
CO,5,12.1493126876,1.59677674198,26.4403539264,0.232896192131,14.979775636
CO,6,12.9389619883,3.43006822612,29.265960039,0.137061403509,19.128045809
CO,7,15.7482562855,2.09845904298,25.4593673966,0.145660989457,20.4530413625
CO,8,14.2181198102,3.03884934757,26.7583036773,0.0974199288256,23.0731020166
CO,9,18.0319905213,1.08807266983,24.7428909953,0.128751974724,13.2413112164
CO,10,13.5780262518,1.8709285367,25.9931939718,0.108653378707,10.1225085075
CO,11,12.5717073171,1.35951219512,29.8253658537,0.118048780488,11.2485365854
CO,12,16.4424654024,6.4714249103,27.4966683752,0.170553562276,18.7639671963
DL,1,14.7531865585,3.12789687138,18.2452201622,0.0176709154114,13.2821552723
DL,2,13.4161556918,2.03878965609,19.9169554785,0.0185283924287,15.056384964
DL,3,14.569761789,1.82780748663,17.9496353913,0.00388915896937,17.2581429266
DL,4,14.558798492,0.820746686124,18.2124528761,0.0,18.0674936155
DL,5,13.9847861106,0.511186683372,20.0384821908,0.058170753535,10.4395919098
DL,6,13.0022880915,1.35579823193,21.8615704628,0.0231929277171,14.7696307852
DL,7,19.3784635344,3.31859883236,23.0962839403,0.0101936799185,23.9545917895
